id_marca,marca_canonica,alias,instagram,sitio_web,estado
163,Jvs Pilates,JVS Pilates,,,activa
164,Jalupilates,JaluPilates,,,activa
165,Jaz Cherbenco Pilates Clásico,Jaz Cherbenco Pilates Clásico,,,activa
166,Josefa Pilatesestudio,Josefa PilatesEstudio,,,activa
167,Juan Sosa Pilates Estudió,Juan Sosa Pilates Estudió,,,activa
168,Justa Pilates,Justa Pilates,,,activa
169,Kalon Pilates Reformer,KALON PILATES REFORMER,,,activa
170,Ks Estudio Pilates,KS Estudio Pilates,,,activa
171,Kumara Pilates & Fit Barre,KUMARA PILATES & FIT BARRE,,,activa
172,Kuyén Club | Pilates Reformer Hipff | Energía Y Movimiento Que Transforma,KUYÉN CLUB | PILATES REFORMER HIPFF | ENERGÍA Y MOVIMIENTO QUE TRANSFORMA,,,activa
173,Kaibliss | Yoga & Wellness,KaiBliss | Yoga & Wellness,,,activa
174,Kairos Pilates Y Yoga,Kairos Pilates y Yoga,,,activa
175,Kenko Pilates,Kenko pilates,,,activa
176,Kyo Pilates,Kyo Pilates,,,activa
177,La Donata Pilates,LA DONATA PILATES,,,activa
178,Lina Pilates,LINA PILATES,,,activa
179,La Pilateria De Almagro,La Pilateria de Almagro,,,activa
180,Le Mouvement Parfait,Le Mouvement Parfait,,,activa
181,Leitmotiv Pilates,Leitmotiv Pilates,,,activa
182,Levy Pilates,Levy Pilates,,,activa
183,Life Pilates,Life Pilates,,,activa
184,Linda Para Vos - Pilates & Spa,Linda para vos - Pilates & Spa,,,activa
185,Lotuszen Pilates,Lotuszen Pilates,,,activa
186,Ludemma Pilates Y Yoga,Ludemma Pilates y Yoga,,,activa
187,Mdc Pilates,MDC pilates,,,activa
188,Mp Pilates,MP Pilates,,,activa
189,Mr Pilates Reformer @Mrpilatesreforme,MR Pilates Reformer @mrpilatesreforme,,,activa
190,Mr Pilates Reformer @Mrpilatesreformer,MR Pilates Reformer @mrpilatesreformer,,,activa
191,Ms Pilates,MS Pilates,,,activa
192,Muv Pilates Belgrano,MUV Pilates Belgrano,,,activa
193,Mwd,MWD,,,activa
194,Madero Soul,Madero Soul,,,activa
195,Maestro Pilates,Maestro Pilates,,,activa
196,Maison Pilates & Wellness,Maison Pilates & Wellness,,,activa
197,Malú Pilates,Malú Pilates,,,activa
198,Mamiwata Pilates Reformer,Mamiwata Pilates Reformer,,,activa
199,Mantra Yoga Y Pilates,Mantra Yoga y Pilates,,,activa
200,Maori Pilates,Maori Pilates,,,activa
201,Maria Azar Pilates,Maria Azar Pilates,,,activa
202,María Laura Studio,María Laura Studio,,,activa
203,María Rego Pilates,María Rego Pilates,,,activa
204,Mas Cerca Pilates,Mas Cerca Pilates,,,activa
205,Maximo Pilates,Maximo Pilates,,,activa
206,Meraki Bienestar - Pilates Reformer Y Actividades Posturales,Meraki Bienestar - Pilates reformer y actividades posturales,,,activa
207,Meraki Yoga & Pilates,Meraki Yoga & Pilates,,,activa
208,Met Pilates Club,Met pilates club,,,activa
209,Mikigai Pilates,Mikigai Pilates,,,activa
210,Miriang.- Espacio De Pilates,MirianG.- Espacio de Pilates,,,activa
211,Modo Pilates Barrio Norte,Modo Pilates Barrio Norte,,,activa
212,Mon Rêve Pilates,Mon Rêve Pilates,,,activa
213,Mood Pilates Reformer,Mood Pilates Reformer,,,activa
214,Moon Pilates,Moon Pilates,,,activa
215,Move On Pilates,Move On Pilates,,,activa
216,Move Pilates Devoto,Move Pilates Devoto,,,activa
217,Movepilates Belgrano,MovePilates Belgrano,,,activa
218,Muevete Guapa,Muevete Guapa,,,activa
219,Mundo Pilates Belgrano,Mundo Pilates Belgrano,,,activa
220,Muévelo Pilates,Muévelo Pilates,,,activa
